list-card-addr,list-card-price,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-details 3,list-card-label 3,list-card-link href 2
"15268 105th Ave #216, Surrey, BC V3R 0W8","C$366,900",1,bd,1,ba,628,sqft,https://www.zillow.com/homedetails/15268-105th-Ave-216-Surrey-BC-V3R-0W8/2068709874_zpid/
"14377 103rd Ave #416, Surrey, BC V3T 5V5","C$504,900",3,bds,2,ba,"1,255",sqft,https://www.zillow.com/homedetails/14377-103rd-Ave-416-Surrey-BC-V3T-5V5/2075893378_zpid/
"10688 140th St #407, Surrey, BC V3T 0M6","C$445,000",1,bd,1,ba,628,sqft,https://www.zillow.com/homedetails/10688-140th-St-407-Surrey-BC-V3T-0M6/2068395989_zpid/
"13438 Central Ave #2308, Surrey, BC V3T 0N2","C$388,000",1,bd,1,ba,448,sqft,https://www.zillow.com/homedetails/13438-Central-Ave-2308-Surrey-BC-V3T-0N2/2069744085_zpid/
"15375 17th Ave #205, Surrey, BC V4A 1T8","C$524,888",2,bds,2,ba,"1,218",sqft,https://www.zillow.com/homedetails/15375-17th-Ave-205-Surrey-BC-V4A-1T8/2076461648_zpid/
"13939 Laurel Dr #309, Surrey, BC V3T 1A8","C$499,000",2,bds,2,ba,"1,023",sqft,https://www.zillow.com/homedetails/13939-Laurel-Dr-309-Surrey-BC-V3T-1A8/2068486738_zpid/
"8139 121a St #315, Surrey, BC V3W 0Z2","C$530,000",2,bds,2,ba,"1,035",sqft,https://www.zillow.com/homedetails/8139-121a-St-315-Surrey-BC-V3W-0Z2/2076455534_zpid/
"13768 108th Ave #219, Surrey, BC V3T 0L9","C$359,900",1,bd,1,ba,429,sqft,https://www.zillow.com/homedetails/13768-108th-Ave-219-Surrey-BC-V3T-0L9/2069556927_zpid/
"10777 University Dr #1502, Surrey, BC V3T 0E6","C$384,900",1,bd,1,ba,559,sqft,https://www.zillow.com/homedetails/10777-University-Dr-1502-Surrey-BC-V3T-0E6/2081180148_zpid/
"9983 Barnston Dr E #505, Surrey, BC V4N 6T3","C$629,900",2,bds,2,ba,953,sqft,https://www.zillow.com/homedetails/9983-Barnston-Dr-E-505-Surrey-BC-V4N-6T3/2069853721_zpid/
"13615 Fraser Hwy #3102, Surrey, BC V3T 2V6","C$489,000",1,bd,1,ba,530,sqft,https://www.zillow.com/homedetails/13615-Fraser-Hwy-3102-Surrey-BC-V3T-2V6/2068459416_zpid/
"13655 Fraser Hwy #1009, Surrey, BC V3T 4J3","C$718,000",2,bds,2,ba,809,sqft,https://www.zillow.com/homedetails/13655-Fraser-Hwy-1009-Surrey-BC-V3T-4J3/2069318597_zpid/
"10838 Whalley Blvd #211, Surrey, BC V3T 5S7","C$544,900",2,bds,2,ba,776,sqft,https://www.zillow.com/homedetails/10838-Whalley-Blvd-211-Surrey-BC-V3T-5S7/2068401465_zpid/
"10581 140th St #105, Surrey, BC V3T 0M7","C$445,000",1,bd,1,ba,710,sqft,https://www.zillow.com/homedetails/10581-140th-St-105-Surrey-BC-V3T-0M7/2068436564_zpid/
"13495 Central Ave #2106, Surrey, BC V3T 0K2","C$678,910",2,bds,2,ba,876,sqft,https://www.zillow.com/homedetails/13495-Central-Ave-2106-Surrey-BC-V3T-0K2/2072308495_zpid/
"10707 139th St #418, Surrey, BC V3T 0B2","C$535,000",2,bds,2,ba,920,sqft,https://www.zillow.com/homedetails/10707-139th-St-418-Surrey-BC-V3T-0B2/2068705588_zpid/
"14418 72nd Ave #B409, Surrey, BC V3S 2E7","C$619,900",2,bds,2,ba,736,sqft,https://www.zillow.com/homedetails/14418-72nd-Ave-B409-Surrey-BC-V3S-2E7/2069739232_zpid/
"13655 Fraser Hwy #2607, Surrey, BC V3T 2V6","C$698,000",2,bds,2,ba,735,sqft,https://www.zillow.com/homedetails/13655-Fraser-Hwy-2607-Surrey-BC-V3T-2V6/2068515399_zpid/
"13325 102a Ave #1006, Surrey, BC V3T 0J5","C$395,000",1,bd,1,ba,631,sqft,https://www.zillow.com/homedetails/13325-102a-Ave-1006-Surrey-BC-V3T-0J5/2071170577_zpid/
"14418 72nd Ave #B403, Surrey, BC V3S 2E7","C$545,000",2,bds,2,ba,686,sqft,https://www.zillow.com/homedetails/14418-72nd-Ave-B403-Surrey-BC-V3S-2E7/2076417795_zpid/
"6628 120th St #318, Surrey, BC V3W 1T7","C$530,000",2,bds,2,ba,805,sqft,https://www.zillow.com/homedetails/6628-120th-St-318-Surrey-BC-V3W-1T7/2068425266_zpid/
"9983 Barnston Dr E #509, Surrey, BC V4N 6T3","C$529,900",2,bds,1,ba,716,sqft,https://www.zillow.com/homedetails/9983-Barnston-Dr-E-509-Surrey-BC-V4N-6T3/2069992479_zpid/
"13789 107a Ave #409, Surrey, BC V3T 0B8","C$480,000",2,bds,2,ba,876,sqft,https://www.zillow.com/homedetails/13789-107a-Ave-409-Surrey-BC-V3T-0B8/2076464120_zpid/
"13495 Central Ave #4004, Surrey, BC V3T 0K2","C$508,900",1,bd,1,ba,563,sqft,https://www.zillow.com/homedetails/13495-Central-Ave-4004-Surrey-BC-V3T-0K2/2070540516_zpid/
"13308 Central Ave #1806, Surrey, BC V3T 0M4","C$583,000",2,bds,2,ba,735,sqft,https://www.zillow.com/homedetails/13308-Central-Ave-1806-Surrey-BC-V3T-0M4/2068733413_zpid/
"9983 Barnston Dr E #218, Surrey, BC V4N 6T3","C$619,900",2,bds,2,ba,952,sqft,https://www.zillow.com/homedetails/9983-Barnston-Dr-E-218-Surrey-BC-V4N-6T3/2068012563_zpid/
